Exp_ID,location_name,latitude,longitude,ecozone,province,soil_great_group,soil_sub_group,soil_texture,sand_px,clay_px,silt_px,initial_soc_tha,initial_soc_year,plot_id,block,treatment_number,treatment_name,replication_number,duration,year_name,start_year,end_year,tillage,STIR_rating,grain_yield_kgha,hay_yield_kgha,hay_residue_kgha,crop,ICASA_code,AAFC_code,crop_rotation,rotation_seq,crop_seq,straw_biomass_kgha,straw_returned,silage_yld_kgha,root_biomass_kgha,biomass_returned_kgha,soc_tha,bd_gcm3,soil_depth_min_cm,soil_depth_max_cm,N_fertilizer_kgha,N_fertilizer_kgha_2,N_fertilizer_kgha_3,P_fertilizer_kgha,P_fertilizer_kgha_2,P_fertilizer_kgha_3,K_fertilizer_kgha,K_fertilizer_kgha_2,S_fertilizer_kgha,S_fertilizer_kgha_2,manure_kgha,residue_estimation_methodology,soil_total_carbon_conc_gkg,soil_total_carbon_px,soil_total_carbon2_px,soil_organic_matter_kgha,organic_matter_px,crop_residue_avg_kgha,crop_residue_kgha,above_ground_residue_kgha,roots_residue_kgha,root_exudates_kgha,reference,flag,theme,TrtID,simple_trt_name,r_c,tillage_soil,tillage_type,irrigation_region,irrigation,cinput_lignin_px,cinput_n_px,Location,POLYID,ECO_ID,...81,SL,PROVINCE,PCPTREGION,soc_tha_30cm
E2,Harrow,42.166667,-82.666667,8,Ontario,Luvic Gleysol,Orthic,Medium,28,37,35,88.7,2004,22,NA,F4,2 IP,1,14,2004,2004,2017,CT,NA,7095.983938,NA,NA,CRN,MAZ,CORNGR,CRN_SBN,NA,NA,7002.89,NA,NA,NA,NA,88.7,NA,0,30,0,NA,NA,100,NA,NA,0,NA,NA,NA,0,est_equation,NA,NA,NA,NA,NA,5958.304667,7002.89,NA,NA,NA,Angers. et al. 1997,reference uncertain,cpr,E2_F4,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,2,570007,570,NA,570007,ON,ON_1,88.7
E2,Harrow,42.166667,-82.666667,8,Ontario,Luvic Gleysol,Orthic,Medium,28,37,35,88.7,2004,22,NA,F4,2 IP,1,14,2005,2004,2017,CT,NA,3025.44,NA,NA,SBN,SBN,SOYBNS,CRN_SBN,NA,NA,3066.7875,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,100,NA,NA,0,NA,NA,NA,0,est_equation,NA,NA,NA,NA,NA,3170.015,3066.7875,NA,NA,NA,Angers. et al. 1997,reference uncertain,cpr,E2_F4,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,2,570007,570,NA,570007,ON,ON_1,NA
E2,Harrow,42.166667,-82.666667,8,Ontario,Luvic Gleysol,Orthic,Medium,28,37,35,88.7,2004,22,NA,F4,2 IP,1,14,2006,2004,2017,CT,NA,7976.0536,NA,NA,CRN,MAZ,CORNGR,CRN_SBN,NA,NA,6434.106073,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,100,NA,NA,0,NA,NA,NA,0,est_equation,NA,NA,NA,NA,NA,6506.905087,6434.106073,NA,NA,NA,Angers. et al. 1997,reference uncertain,cpr,E2_F4,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,2,570007,570,NA,570007,ON,ON_1,NA
E2,Harrow,42.166667,-82.666667,8,Ontario,Luvic Gleysol,Orthic,Medium,28,37,35,88.7,2004,22,NA,F4,2 IP,1,14,2007,2004,2017,CT,NA,3228.958308,NA,NA,SBN,SBN,SOYBNS,CRN_SBN,NA,NA,3689.3325,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,100,NA,NA,0,NA,NA,NA,0,est_equation,NA,NA,NA,NA,NA,3568.48625,3689.3325,NA,NA,NA,Angers. et al. 1997,reference uncertain,cpr,E2_F4,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,2,570007,570,NA,570007,ON,ON_1,NA
E2,Harrow,42.166667,-82.666667,8,Ontario,Luvic Gleysol,Orthic,Medium,28,37,35,88.7,2004,22,NA,F4,2 IP,1,14,2008,2004,2017,CT,NA,6078.764456,NA,NA,CRN,MAZ,CORNGR,CRN_SBN,NA,NA,6722.978667,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,100,NA,NA,0,NA,NA,NA,0,est_equation,NA,NA,NA,NA,NA,7171.327543,6722.978667,NA,NA,NA,Angers. et al. 1997,reference uncertain,cpr,E2_F4,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,2,570007,570,NA,570007,ON,ON_1,NA
E2,Harrow,42.166667,-82.666667,8,Ontario,Luvic Gleysol,Orthic,Medium,28,37,35,88.7,2004,22,NA,F4,2 IP,1,14,2009,2004,2017,CT,NA,3149.429022,NA,NA,SBN,SBN,SOYBNS,CRN_SBN,NA,NA,3785.733333,NA,NA,NA,NA,79.7059428,NA,0,30,0,NA,NA,100,NA,NA,0,NA,NA,NA,0,est_equation,NA,NA,NA,NA,NA,3672.466667,3785.733333,NA,NA,NA,Angers. et al. 1997,reference uncertain,cpr,E2_F4,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,2,570007,570,NA,570007,ON,ON_1,79.7059428
E2,Harrow,42.166667,-82.666667,8,Ontario,Luvic Gleysol,Orthic,Medium,28,37,35,88.7,2004,22,NA,F4,2 IP,1,14,2010,2004,2017,CT,NA,6355.661194,NA,NA,CRN,MAZ,CORNGR,CRN_SBN,NA,NA,6473.791712,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,100,NA,NA,0,NA,NA,NA,0,est_equation,NA,NA,NA,NA,NA,6163.652979,6473.791712,NA,NA,NA,Angers. et al. 1997,reference uncertain,cpr,E2_F4,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,2,570007,570,NA,570007,ON,ON_1,NA
E2,Harrow,42.166667,-82.666667,8,Ontario,Luvic Gleysol,Orthic,Medium,28,37,35,88.7,2004,22,NA,F4,2 IP,1,14,2011,2004,2017,CT,NA,3517.0578,NA,NA,SBN,SBN,SOYBNS,CRN_SBN,NA,NA,4188.072471,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,100,NA,NA,0,NA,NA,NA,0,est_equation,NA,NA,NA,NA,NA,4001.875742,4188.072471,NA,NA,NA,Angers. et al. 1997,reference uncertain,cpr,E2_F4,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,2,570007,570,NA,570007,ON,ON_1,NA
E2,Harrow,42.166667,-82.666667,8,Ontario,Luvic Gleysol,Orthic,Medium,28,37,35,88.7,2004,22,NA,F4,2 IP,1,14,2012,2004,2017,CT,NA,11423.91115,NA,NA,CRN,MAZ,CORNGR,CRN_SBN,NA,NA,11076.36374,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,100,NA,NA,0,NA,NA,NA,0,est_equation,NA,NA,NA,NA,NA,10933.05385,11076.36374,NA,NA,NA,Angers. et al. 1997,reference uncertain,cpr,E2_F4,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,2,570007,570,NA,570007,ON,ON_1,NA
E2,Harrow,42.166667,-82.666667,8,Ontario,Luvic Gleysol,Orthic,Medium,28,37,35,88.7,2004,22,NA,F4,2 IP,1,14,2013,2004,2017,CT,NA,3415.998933,NA,NA,SBN,SBN,SOYBNS,CRN_SBN,NA,NA,7234.827984,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,100,NA,NA,0,NA,NA,NA,0,est_equation,NA,NA,NA,NA,NA,6612.941206,7234.827984,NA,NA,NA,Angers. et al. 1997,reference uncertain,cpr,E2_F4,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,2,570007,570,NA,570007,ON,ON_1,NA
