Exp_ID,location_name,latitude,longitude,ecozone,province,soil_great_group,soil_sub_group,soil_texture,sand_px,clay_px,silt_px,initial_soc_tha,initial_soc_year,plot_id,block,treatment_number,treatment_name,replication_number,duration,year_name,start_year,end_year,tillage,STIR_rating,grain_yield_kgha,hay_yield_kgha,hay_residue_kgha,crop,ICASA_code,AAFC_code,crop_rotation,rotation_seq,crop_seq,straw_biomass_kgha,straw_returned,silage_yld_kgha,root_biomass_kgha,biomass_returned_kgha,soc_tha,bd_gcm3,soil_depth_min_cm,soil_depth_max_cm,N_fertilizer_kgha,N_fertilizer_kgha_2,N_fertilizer_kgha_3,P_fertilizer_kgha,P_fertilizer_kgha_2,P_fertilizer_kgha_3,K_fertilizer_kgha,K_fertilizer_kgha_2,S_fertilizer_kgha,S_fertilizer_kgha_2,manure_kgha,residue_estimation_methodology,soil_total_carbon_conc_gkg,soil_total_carbon_px,soil_total_carbon2_px,soil_organic_matter_kgha,organic_matter_px,crop_residue_avg_kgha,crop_residue_kgha,above_ground_residue_kgha,roots_residue_kgha,root_exudates_kgha,reference,flag,theme,TrtID,simple_trt_name,r_c,tillage_soil,tillage_type,irrigation_region,irrigation,cinput_lignin_px,cinput_n_px,Location,POLYID,ECO_ID,...81,SL,PROVINCE,PCPTREGION,soc_tha_30cm
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1983,1983,2009,CT,NA,1983.478261,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2002.5,yes,NA,876.9152174,NA,110.21,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2002.5,NA,876.9152174,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,110.21
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1984,1983,2009,CT,NA,3516.485,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2658.25,yes,NA,1358.4417,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2658.25,NA,1358.4417,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1985,1983,2009,CT,NA,3126.97,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2436.91,yes,NA,1224.0536,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2436.91,NA,1224.0536,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1986,1983,2009,CT,NA,2725.52,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,3611.965,yes,NA,1394.2467,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,3611.965,NA,1394.2467,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1987,1983,2009,CT,NA,3150.5975,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2758.91,yes,NA,1300.09165,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2758.91,NA,1300.09165,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1988,1983,2009,CT,NA,3508.3,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,3159,yes,NA,1466.806,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,3159,NA,1466.806,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1989,1983,2009,CT,NA,2894.875,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2934.075,yes,NA,1282.369,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2934.075,NA,1282.369,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1990,1983,2009,CT,NA,4261.7,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,3592,yes,NA,1727.814,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,3592,NA,1727.814,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1991,1983,2009,CT,NA,2766.413043,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2892.391304,yes,NA,1244.936957,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2892.391304,NA,1244.936957,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1992,1983,2009,CT,NA,2731.75,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2622.625,yes,NA,1177.9625,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2622.625,NA,1177.9625,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
