SampleID,tillfac_FT,tillfac_RT,wfac_irri,k10,k20,k30,k40,k50,f1,f2,f3,f5,f6,f7,f8,tmax,topt,plig
1,2.4808856280027887,1.9289978074468672,1,18.84293091366843,4.89105010215458,7.387488653496057,0.292197612835994,0.0065720836210891144,0.7561682733177976,0.052128475500299594,0.4728226246771403,0.06434856116971932,0.0335911429621256,0.4580338859138489,0.47006499989757783,45.68953091869201,34.98943223490879,3.1222387643270197
2,1.8115167607513256,2.729285041077528,1,17.263329852578252,5.014094606599845,7.794764157204824,0.1930108786116275,0.0071536349783709735,0.7870901215220709,0.43494850477167735,0.13754840726139955,0.07110502107823849,0.03780881230747793,0.4373797018489195,0.41298945688894484,44.62100733926031,30.706918657732455,3.70528638868453
3,3.2994541775521355,2.866051694919821,1,20.10967377249082,5.154469224986741,8.021969728643121,0.272507210570978,0.007483666837093188,0.45170644353927114,0.3544665320698172,0.18543687263473405,0.07023576685458352,0.02964711550021544,0.40806330015641357,0.4944884217917919,43.584083892495606,31.741856350912414,3.952403617150616
4,1.4623085063136647,2.6163700221194883,1,19.685389363139496,4.921974917672924,7.812623988833996,0.1995950233571166,0.0064111659614334345,0.6487741335825064,0.1990400423920157,0.3745169463854283,0.06383858611619868,0.07265383709123359,0.44983489872509896,0.4562553141944669,48.642811701731056,31.25616828203764,2.471192330718506
5,2.59194263574616,2.322258295551408,1,19.06874008793421,4.895583765304787,7.245538946757838,0.259384589917623,0.005122549088153756,0.6538791917526815,0.3574474183696292,0.66875535572187506,0.09684980222029844,0.05332398268674268,0.4576642830405459,0.4276449800077686,43.0335325410061,34.90155602654152,3.4666908630263062
6,3.5805576248517728,2.5841538142231295,1,19.52231367722084,4.860772704434227,7.946080907496112,0.21109719211814645,0.006916592626095517,0.2538359020592924,0.27812319005950614,0.5701920294762822,0.06761787666239868,0.14614064663999946,0.4548325508380244,0.4822332256025704,48.551749519409846,34.87297410243992,3.5875819688970223
7,3.486941606546892,1.1665263967225328,1,17.125744665074905,5.047935911564617,7.629788253031364,0.09148668017736916,0.006682341803397285,0.7264263932308159,0.14348084078064563,0.7308337644903687,0.08506015278523671,0.03861011768987868,0.4572169130626191,0.41046161512458235,42.474539155946346,32.68004540966138,2.653315024710726
8,1.8673377896387129,1.9545852642389945,1,19.911103142087487,4.730130468034823,7.280866179473996,0.27682784614736355,0.007468032482075506,0.1669562930213567,0.15279326140874996,0.694198315038532,0.06346592090545175,0.12929353471429786,0.4070028509422615,0.40613393006759,48.783837321247205,31.41553965623509,2.898757315149065
9,1.746353262897022,2.5291127282963135,1,16.868245134565978,5.268004405020847,7.5663087237942594,0.13115641879607456,0.006021444846732775,0.4371304593774537,0.21644752680582416,0.5057834813115654,0.041366217354365624,0.14769128098991,0.38225083867200094,0.4702948214389966,45.2221446730555,33.51279437092919,2.7839694416355343
10,2.515718983602617,2.5863538503530434,1,18.00009020980622,4.557736359633603,6.820659391073613,0.10494106182536903,0.007736960016250378,0.28652337854317156,0.13525180211551976,0.3620930998672499,0.06932899068146431,0.03386725309147267,0.4371591052369969,0.4796251855409355,42.68360144596989,34.47372744267844,2.695797852695454
