POLYID,Year,Month,Day,Julian,Tmax,Tmin,Tmean,Precip,Rain,Snow,WindSpeed,Rad,RH
425023,1997,1,1,1,-14.06,-28.35,-21.21,0,0,0,0.74,5.82,81.38
425023,1997,1,2,2,-9.78,-14.97,-12.38,4.13,0,4.13,0.6,4.17,95.94
425023,1997,1,3,3,-4.04,-10.45,-7.24,0,0,0,0.64,5.56,95.75
425023,1997,1,4,4,-2.88,-9.61,-6.24,0,0,0,0.85,5.96,96.62
425023,1997,1,5,5,2.55,-5.43,-1.44,25.95,0,25.95,1.27,3.03,99.31
425023,1997,1,6,6,0.06,-10.07,-5,2.46,0,2.46,2.03,3.76,88.5
425023,1997,1,7,7,-9.75,-12.81,-11.28,0,0,0,2.02,6.45,87.44
425023,1997,1,8,8,-12.96,-16.73,-14.85,0,0,0,1.89,6.64,87.94
425023,1997,1,9,9,-11.35,-19.29,-15.32,5.07,0,5.07,1.27,2.75,92.31
425023,1997,1,10,10,-3.52,-11.45,-7.48,6.6,0,6.6,1.05,2.75,98.62
425023,1997,1,11,11,-6.46,-12.77,-9.62,0,0,0,1.69,6.37,95.56
425023,1997,1,12,12,-9.88,-14.95,-12.41,0,0,0,1.7,6.73,96.12
425023,1997,1,13,13,-8.07,-12.55,-10.31,0,0,0,1.27,7.98,96.56
425023,1997,1,14,14,-4.27,-11.3,-7.79,0,0,0,1.55,7.14,96.44
425023,1997,1,15,15,-3.07,-7.32,-5.2,0,0,0,1.59,7.28,97.5
425023,1997,1,16,16,0.33,-21.05,-10.36,5.31,0,5.31,2.93,4.42,94.69
425023,1997,1,17,17,-16.39,-27.51,-21.95,3.15,0,3.15,1.95,7.33,91.19
425023,1997,1,18,18,-21.56,-32.77,-27.16,0,0,0,1.26,7.41,91.81
425023,1997,1,19,19,-9.2,-31.92,-20.56,0,0,0,1.74,6.38,98.31
425023,1997,1,20,20,-4.33,-12.22,-8.28,3.88,0,3.88,1.69,4.86,98.06
425023,1997,1,21,21,-12.19,-23.56,-17.88,0,0,0,0.88,7.66,96.12
425023,1997,1,22,22,1.9,-12.78,-5.44,8.53,0,8.53,2.57,2.83,98.44
425023,1997,1,23,23,1.9,-27.16,-12.63,0,0,0,2.34,9,86.75
425023,1997,1,24,24,-10.2,-27.83,-19.02,7.61,0,7.61,1.91,5.94,91.88
425023,1997,1,25,25,0.21,-13.95,-6.87,14.99,0,14.99,2.67,4.57,97.56
425023,1997,1,26,26,-14.75,-27.81,-21.28,0,0,0,2.06,8.29,94
425023,1997,1,27,27,-13.63,-33.62,-23.62,5.01,0,5.01,1.84,8.09,97.25
425023,1997,1,28,28,-5.67,-15.79,-10.73,9.35,0,9.35,1.88,9.44,97.75
425023,1997,1,29,29,-12.62,-28.89,-20.75,0,0,0,1.73,8.77,95.62
425023,1997,1,30,30,-18.98,-35.23,-27.1,0,0,0,1.73,7.21,97.44
425023,1997,1,31,31,-3.56,-18.56,-11.06,4.65,0,4.65,1.58,5.8,99.5
425023,1997,2,1,32,-0.88,-9.2,-5.04,3.09,0,3.09,1.13,5.04,98.44
425023,1997,2,2,33,-7.68,-18.13,-12.9,0,0,0,0.77,8.59,96
425023,1997,2,3,34,-2.13,-15.5,-8.81,0,0,0,0.78,9.17,96.25
425023,1997,2,4,35,-6.02,-19.88,-12.95,2.9,0,2.9,1.74,7.06,98.06
425023,1997,2,5,36,-0.46,-8.81,-4.64,11.69,0,11.69,1.46,6.01,98.5
425023,1997,2,6,37,-4.72,-12.23,-8.47,0,0,0,1.56,10.66,98.12
425023,1997,2,7,38,-7.52,-25.76,-16.64,0,0,0,1.32,9.32,96.31
425023,1997,2,8,39,-14.62,-31.51,-23.07,0,0,0,0.91,9.71,93.81
425023,1997,2,9,40,-7.04,-25.67,-16.36,0,0,0,1.33,11.43,98.19
425023,1997,2,10,41,-4.06,-13.52,-8.79,0,0,0,1.3,6.76,98.38
425023,1997,2,11,42,-13.14,-17.42,-15.28,3.15,0,3.15,1.45,9.05,97.81
425023,1997,2,12,43,-3.64,-17.75,-10.7,4.12,0,4.12,1.55,7.43,98
425023,1997,2,13,44,-17.95,-30.42,-24.19,0,0,0,1.2,11.34,94.81
425023,1997,2,14,45,-2.23,-20.76,-11.5,6.27,0,6.27,1.23,4.73,98.81
425023,1997,2,15,46,-2.06,-20.84,-11.45,3.6,0,3.6,2.09,6.92,97
425023,1997,2,16,47,-16.67,-24.87,-20.77,0,0,0,1.09,10.53,94.38
425023,1997,2,17,48,-11.2,-33.49,-22.34,0,0,0,0.96,10.33,96.88
425023,1997,2,18,49,0.51,-10.35,-4.92,0,0,0,2.38,9.48,97.62
425023,1997,2,19,50,0.63,-7.86,-3.62,7.42,0,7.42,1.77,6.01,97.81
425023,1997,2,20,51,-5.63,-20.36,-12.99,0,0,0,1.05,14.31,93.62
425023,1997,2,21,52,0.44,-3.57,-1.56,29.21,0,29.21,1.57,4.89,98.12
425023,1997,2,22,53,-1.42,-17.27,-9.34,8.06,0,8.06,2.86,4.92,96.38
425023,1997,2,23,54,-9.06,-20.5,-14.78,0,0,0,1.23,14.27,95.94
425023,1997,2,24,55,-8.76,-20.05,-14.41,0,0,0,1.88,10.3,96.19
425023,1997,2,25,56,-6.68,-29.01,-17.84,0,0,0,1.67,9.23,97.06
425023,1997,2,26,57,0.33,-6.04,-2.85,0,0,0,2.2,11.61,97.06
425023,1997,2,27,58,0.1,-9.38,-4.64,9,0,9,1.72,6.09,97.69
425023,1997,2,28,59,-4.95,-17.97,-11.46,0,0,0,1,14.95,96.81
425023,1997,3,1,60,0.87,-13.6,-6.37,8.64,0,8.64,1.48,5.83,99.25
425023,1997,3,2,61,0.92,-10.28,-4.68,6.49,0,6.49,2.06,12.11,97.19
425023,1997,3,3,62,-7.74,-17.75,-12.75,0,0,0,1.16,14.71,93.69
425023,1997,3,4,63,-4.13,-11.51,-7.82,4.8,0,4.8,1.23,7.45,97.19
425023,1997,3,5,64,-0.39,-11.89,-6.14,0,0,0,0.98,13.71,96.5
425023,1997,3,6,65,-4.62,-9.4,-7.01,11.68,0,11.68,2.56,12.08,96.94
425023,1997,3,7,66,-8.72,-14.56,-11.64,0,0,0,1.75,16.8,95.94
425023,1997,3,8,67,-5.38,-18.95,-12.16,0,0,0,1.13,16.64,96.12
425023,1997,3,9,68,-8.4,-26.24,-17.32,0,0,0,1.39,16.82,96.31
425023,1997,3,10,69,0.08,-7.76,-3.84,5.71,0,5.71,2.08,10.87,97.44
425023,1997,3,11,70,-1.36,-12.88,-7.12,0,0,0,1.35,16.61,96.31
425023,1997,3,12,71,-6.83,-16.74,-11.79,0,0,0,1.71,16.51,96.25
425023,1997,3,13,72,-10.78,-22.68,-16.73,0,0,0,1.18,19.53,94.88
425023,1997,3,14,73,-0.26,-20.58,-10.42,21.61,0,21.61,1.97,5.85,97.88
425023,1997,3,15,74,-0.1,-11.74,-5.92,6.15,0,6.15,2.55,15.58,95.19
425023,1997,3,16,75,-9.74,-18.22,-13.98,0,0,0,1.64,19.5,96.5
425023,1997,3,17,76,0.02,-15.72,-7.85,3.27,0,3.27,1.71,7.72,98.06
425023,1997,3,18,77,-5.65,-17.65,-11.65,0,0,0,1.14,20.15,95.75
425023,1997,3,19,78,-0.99,-17.96,-9.47,0,0,0,0.95,20.57,97
425023,1997,3,20,79,-0.88,-11.5,-6.19,0,0,0,0.95,13.44,98.06
425023,1997,3,21,80,-1.76,-16.3,-9.03,0,0,0,0.71,15.47,96
425023,1997,3,22,81,-4.87,-14.51,-9.69,0,0,0,1.65,18.62,96.81
425023,1997,3,23,82,-7.97,-21.86,-14.91,0,0,0,1.2,21.49,97.75
425023,1997,3,24,83,-3.02,-20.6,-11.81,0,0,0,0.96,20.88,96.44
425023,1997,3,25,84,0.22,-14.37,-7.07,9.42,0,9.42,1.31,10.57,98.75
425023,1997,3,26,85,0.28,-2.24,-0.98,0,0,0,1.93,13.84,97.19
425023,1997,3,27,86,1.08,-4.95,-1.94,0,0,0,0.95,21.12,98.38
425023,1997,3,28,87,4,-6.01,-1,0,0,0,0.81,17.68,96.5
425023,1997,3,29,88,9.45,0.64,5.04,3.74,3.74,0,0.66,10.78,97.12
425023,1997,3,30,89,3.4,-1.42,0.99,0,0,0,0.95,12.4,91.44
425023,1997,3,31,90,-0.09,-4.56,-2.32,7.27,0,7.27,1.35,11.28,93.5
425023,1997,4,1,91,1.26,-11.75,-5.25,4.96,0,4.96,1.16,21.24,93.06
425023,1997,4,2,92,2.9,-7.22,-2.16,2.73,0,2.73,0.93,23.31,92.56
425023,1997,4,3,93,8.81,-3.99,2.41,0,0,0,0.71,15.26,91.62
425023,1997,4,4,94,6.92,-1.99,2.46,0,0,0,0.88,23.06,88.69
425023,1997,4,5,95,11.33,-2.54,4.39,3.41,3.41,0,0.7,19.18,87.31
425023,1997,4,6,96,16.3,5.94,11.12,6.47,6.47,0,1.02,16.5,94.31
425023,1997,4,7,97,13.58,-2.2,5.69,0,0,0,1.77,11.53,77.56
425023,1997,4,8,98,-1.23,-8.98,-5.11,0,0,0,1.52,14.73,71.56
425023,1997,4,9,99,-3.99,-11.56,-7.78,0,0,0,1.52,23.08,70.81
425023,1997,4,10,100,3.86,-10,-3.07,0,0,0,0.9,25.49,72.62
425023,1997,4,11,101,6.15,-5.88,0.14,0,0,0,0.77,24.87,78.75
425023,1997,4,12,102,6.69,-2.27,2.21,3.21,3.21,0,0.74,15.3,81.69
425023,1997,4,13,103,4.23,-0.92,1.66,5.94,5.94,0,0.78,6.25,90.38
425023,1997,4,14,104,3.92,-4.45,-0.27,0,0,0,1.02,23.81,75.88
425023,1997,4,15,105,9.83,-4.4,2.71,0,0,0,0.48,25.71,72.62
425023,1997,4,16,106,13.33,-1.35,5.99,1.8,1.8,0,0.68,17.29,84.12
425023,1997,4,17,107,5.91,0.04,2.98,0,0,0,0.72,9.81,87.12
425023,1997,4,18,108,7.48,-0.42,3.53,9.91,9.91,0,0.84,8.48,87.19
425023,1997,4,19,109,12.9,0.26,6.58,4.39,4.39,0,0.51,23.18,82.12
425023,1997,4,20,110,13.41,-0.64,6.38,0,0,0,0.52,23.79,76.88
425023,1997,4,21,111,13.19,1.24,7.21,0,0,0,0.46,18.63,75.81
425023,1997,4,22,112,12.37,3.23,7.8,2.23,2.23,0,0.49,18.99,81.56
425023,1997,4,23,113,15.64,-0.4,7.62,0,0,0,0.34,22.51,75.31
