POLYID,Year,Month,Day,Julian,Tmax,Tmin,Tmean,Precip,Rain,Snow,WindSpeed,Rad,RH
425023,2016,1,1,1,-1.27,-10.92,-6.09,0,0,0,0.91,2.63,99.25
425023,2016,1,2,2,-2.17,-11.45,-6.81,0,0,0,1.24,2.01,99
425023,2016,1,3,3,-1.1,-17.45,-9.28,2.12,0,2.12,1.29,2.5,98.38
425023,2016,1,4,4,-16.42,-26.62,-21.52,0,0,0,0.92,7.55,98.75
425023,2016,1,5,5,-12.95,-27.31,-20.13,0,0,0,0.73,7.84,99.19
425023,2016,1,6,6,-1.67,-12.95,-7.31,0,0,0,0.95,5.79,99.44
425023,2016,1,7,7,-1.9,-10.55,-6.23,0,0,0,0.49,4.24,99.25
425023,2016,1,8,8,-3.81,-8.79,-6.3,0,0,0,1.09,4.63,99.25
425023,2016,1,9,9,0.43,-3.13,-1.35,4.33,0,4.33,1.05,1.95,98.62
425023,2016,1,10,10,2.24,-2.88,-0.32,19.19,0,19.19,2.17,1.66,97.81
425023,2016,1,11,11,-4.49,-15.81,-10.15,0,0,0,2.34,7.8,82.38
425023,2016,1,12,12,-4.62,-15.04,-9.83,4.05,0,4.05,1.24,3.22,92.19
425023,2016,1,13,13,-7.63,-18.12,-12.88,0,0,0,1.98,7.97,87.31
425023,2016,1,14,14,-7.27,-15.1,-11.18,0,0,0,0.84,5.23,89.88
425023,2016,1,15,15,-9.24,-19.31,-14.27,0,0,0,1.8,3.17,93.25
425023,2016,1,16,16,-0.62,-10.58,-5.6,3.31,0,3.31,1.69,1.58,96.81
425023,2016,1,17,17,-9.16,-19.15,-14.15,2.18,0,2.18,1.13,4.32,92.69
425023,2016,1,18,18,-10.67,-17.1,-13.89,3.45,0,3.45,2.02,6.26,95.5
425023,2016,1,19,19,-11.57,-19.77,-15.67,0,0,0,2.73,4.67,95.62
425023,2016,1,20,20,-9.42,-17.19,-13.3,0,0,0,1.34,8.85,97.44
425023,2016,1,21,21,-11.89,-23.66,-17.77,2.96,0,2.96,1.2,9.15,98.19
425023,2016,1,22,22,-8.1,-22.42,-15.26,2.26,0,2.26,0.97,8.14,99
425023,2016,1,23,23,-11.47,-21.8,-16.64,0,0,0,0.99,9.61,97.44
425023,2016,1,24,24,-10.38,-20.49,-15.43,0,0,0,0.91,6.13,94.81
425023,2016,1,25,25,-2.04,-11.94,-6.99,0,0,0,0.84,5.87,98.06
425023,2016,1,26,26,1.81,-6.97,-2.58,5.24,0,5.24,2.09,2.1,96.81
425023,2016,1,27,27,0.01,-14.49,-7.24,1.88,0,1.88,1.63,8.71,88.19
425023,2016,1,28,28,-1.36,-13.7,-7.53,2.41,0,2.41,1.35,2.74,95.25
425023,2016,1,29,29,0.08,-12.99,-6.46,2.35,0,2.35,1.4,4.19,95.19
425023,2016,1,30,30,-2.72,-17.54,-10.13,0,0,0,1.07,1.76,92.31
425023,2016,1,31,31,3.08,-1.95,0.57,3.78,3.78,0,1.01,4.97,98.94
425023,2016,2,1,32,4.2,-7.38,-1.59,3.12,0,3.12,2.37,8.27,88.56
425023,2016,2,2,33,-2.16,-11.21,-6.69,0,0,0,1.32,10.58,74.56
425023,2016,2,3,34,3.45,-7.62,-2.08,14.17,0,14.17,2.33,2.38,97.12
425023,2016,2,4,35,2.35,-8.1,-2.88,0,0,0,1.99,4.3,87.88
425023,2016,2,5,36,-2.88,-12.1,-7.49,0,0,0,1.33,11.02,82.06
425023,2016,2,6,37,0.02,-8.6,-4.29,0,0,0,1.34,5.89,92
425023,2016,2,7,38,-1.85,-11.48,-6.67,0,0,0,2.29,4.89,82.25
425023,2016,2,8,39,-7.43,-12.04,-9.73,0,0,0,2.98,6.65,85.12
425023,2016,2,9,40,-7.04,-9.81,-8.43,0,0,0,2.05,7.56,91.25
425023,2016,2,10,41,-4.17,-13.9,-9.04,0,0,0,1.27,6.28,87.94
425023,2016,2,11,42,-13.85,-22.26,-18.05,0,0,0,2.41,9.48,82.25
425023,2016,2,12,43,-6.85,-22.74,-14.79,3.57,0,3.57,2.05,7.29,92.19
425023,2016,2,13,44,-18.47,-30.18,-24.32,0,0,0,3.3,11.03,80.56
425023,2016,2,14,45,-19.31,-33.35,-26.33,0,0,0,1.68,12.09,85.94
425023,2016,2,15,46,-7.75,-24.45,-16.1,0,0,0,1.6,11.14,90
425023,2016,2,16,47,-3.99,-8.7,-6.34,32.76,0,32.76,2.5,3.4,97.69
425023,2016,2,17,48,-3.25,-16.65,-9.95,10.74,0,10.74,1.52,8.32,97.38
425023,2016,2,18,49,-11.19,-24.77,-17.98,0,0,0,1.17,13.37,97
425023,2016,2,19,50,-3.14,-23.2,-13.17,4.42,0,4.42,1.7,5.63,98.38
425023,2016,2,20,51,0.39,-2.7,-1.16,7.77,0,7.77,2.34,5.15,97.81
425023,2016,2,21,52,-0.04,-20.71,-10.38,0,0,0,1.86,9,96.12
425023,2016,2,22,53,-11.88,-26.6,-19.24,0.02,0,0.02,1.18,14.8,93.12
425023,2016,2,23,54,-7.88,-23.74,-15.81,0,0,0,1.33,7.48,97.56
425023,2016,2,24,55,-1.1,-8.63,-4.87,22.37,0,22.37,2.58,4.1,98.38
425023,2016,2,25,56,0.13,-7.69,-3.78,15.21,0,15.21,2.12,4.06,96.69
425023,2016,2,26,57,-9.82,-21.79,-15.8,0,0,0,2.5,15.81,94.94
425023,2016,2,27,58,0.07,-23.76,-11.85,0,0,0,2.54,6.39,98.12
425023,2016,2,28,59,0.05,-10.58,-5.26,6.24,0,6.24,1.98,7.32,96.62
425023,2016,2,29,60,0.49,-11.81,-5.66,6.48,0,6.48,2.74,12.45,96.06
425023,2016,3,1,61,-12.08,-22.21,-17.14,4.94,0,4.94,1.56,13.12,95
425023,2016,3,2,62,-11.88,-21.57,-16.73,12.06,0,12.06,2.61,11.88,95.62
425023,2016,3,3,63,-14.84,-31.47,-23.16,0,0,0,1.03,17.65,93.5
425023,2016,3,4,64,-6.37,-23.62,-15,0,0,0,0.97,17,92.44
425023,2016,3,5,65,-3.23,-17.74,-10.48,0,0,0,0.7,15.97,93.44
425023,2016,3,6,66,-0.42,-11.57,-6,0,0,0,1,16.66,96.25
425023,2016,3,7,67,0.36,-5.83,-2.73,0,0,0,1.29,4.53,98.25
425023,2016,3,8,68,0.06,-7.98,-3.96,0,0,0,1.22,7.75,97.44
425023,2016,3,9,69,2.6,0.41,1.51,7.13,7.13,0,1.26,5.48,99.88
425023,2016,3,10,70,3.73,-0.63,1.55,0,0,0,0.8,3.95,95.88
425023,2016,3,11,71,2.3,-5.37,-1.54,0,0,0,1.34,17.5,89.69
425023,2016,3,12,72,7.64,-5.18,1.23,0,0,0,1.74,16.24,89.19
425023,2016,3,13,73,5.09,-3.64,0.72,0,0,0,1.38,18.39,83.44
425023,2016,3,14,74,3.23,-2.69,0.27,4.11,4.11,0,1.95,5.97,92.31
425023,2016,3,15,75,5.25,0.56,2.91,5.4,5.4,0,0.8,5.03,96
425023,2016,3,16,76,5.08,0.49,2.79,5.49,5.49,0,1.53,10.55,94.12
425023,2016,3,17,77,7.84,1.55,4.7,0,0,0,1.04,12.58,92.56
425023,2016,3,18,78,1.23,-8.09,-3.43,0,0,0,1.88,19.34,75.19
425023,2016,3,19,79,-2.28,-11.86,-7.07,0,0,0,1.66,20.5,69.62
425023,2016,3,20,80,1.36,-14.18,-6.41,0,0,0,0.84,20.79,75.25
425023,2016,3,21,81,1.8,-10.32,-4.26,0,0,0,1.29,19.85,80.5
425023,2016,3,22,82,2.61,-10.75,-4.07,0,0,0,0.92,16.7,85.5
425023,2016,3,23,83,1.45,-4.78,-1.67,0,0,0,1.16,15.5,78.31
425023,2016,3,24,84,-2.8,-7.45,-5.12,9.33,0,9.33,2.15,4.69,89.38
425023,2016,3,25,85,0.12,-9.92,-4.9,5.26,0,5.26,1.19,5.29,93.19
425023,2016,3,26,86,4.01,-12.6,-4.29,0,0,0,0.73,20.78,85.62
425023,2016,3,27,87,10.83,-5.71,2.56,0,0,0,0.66,20.23,89.31
425023,2016,3,28,88,6.66,0.9,3.78,16.45,16.45,0,1.08,4.77,97.81
425023,2016,3,29,89,2.66,-3.74,-0.54,3.82,0,3.82,1.95,22.7,77
425023,2016,3,30,90,6.48,-4.88,0.8,0,0,0,0.91,15.56,83
425023,2016,3,31,91,13.32,2.12,7.72,29.46,29.46,0,1.47,4.21,96.06
425023,2016,4,1,92,13.9,-1.13,6.38,3.32,3.32,0,1.41,8.84,87.81
425023,2016,4,2,93,6.17,-5.43,0.37,2.52,2.52,0,1.26,11.78,81.62
425023,2016,4,3,94,-5.87,-9.99,-7.93,0,0,0,1.74,19.88,62.56
425023,2016,4,4,95,-2.19,-10.94,-6.56,0,0,0,0.94,21.46,65
425023,2016,4,5,96,-0.18,-12.81,-6.5,0,0,0,0.86,23.45,64.31
425023,2016,4,6,97,0.82,-8.59,-3.88,7.33,0,7.33,0.84,9.23,84.56
425023,2016,4,7,98,2.8,-0.99,0.9,18.67,18.67,0,0.89,5.3,98.81
425023,2016,4,8,99,0.51,-8.81,-4.15,3.85,0,3.85,1.25,11.71,90.75
425023,2016,4,9,100,-2.22,-12.6,-7.41,0,0,0,1.06,23.43,86.12
425023,2016,4,10,101,0.51,-13.73,-6.61,0,0,0,0.73,23.18,79.75
425023,2016,4,11,102,3.66,-3.53,0.07,8.32,8.32,0,0.73,3.93,98.06
425023,2016,4,12,103,5.03,-3.38,0.83,3.44,3.44,0,0.93,12.89,88.5
425023,2016,4,13,104,5.33,-5.75,-0.21,0,0,0,0.59,24.48,75.94
425023,2016,4,14,105,9.26,-4.31,2.48,0,0,0,0.63,25.33,74.19
425023,2016,4,15,106,11.41,-2.41,4.5,0,0,0,0.69,24.12,76.81
425023,2016,4,16,107,13.86,-0.81,6.52,0,0,0,0.7,23.32,71.31
425023,2016,4,17,108,20.46,2.1,11.28,0,0,0,0.55,23.52,67.06
425023,2016,4,18,109,13.98,0.73,7.36,4.44,4.44,0,0.53,11.11,81.81
425023,2016,4,19,110,12.09,-1.58,5.25,1.95,1.95,0,0.82,25.88,77.56
425023,2016,4,20,111,13.56,-3.25,5.16,0,0,0,0.41,26.76,64.19
425023,2016,4,21,112,20.44,-2.02,9.21,0,0,0,0.43,21.79,71.94
425023,2016,4,22,113,16.64,3.19,9.92,5.71,5.71,0,0.62,6.69,90.56
425023,2016,4,23,114,9.52,-3.01,3.25,2.39,2.39,0,0.7,27.05,70.81
425023,2016,4,24,115,10.52,-4.2,3.16,1.8,1.8,0,0.41,26.45,68.75
425023,2016,4,25,116,6.99,-3.34,1.83,0,0,0,0.45,21.6,70.06
425023,2016,4,26,117,8.59,-2.31,3.14,0,0,0,0.51,20.29,72
425023,2016,4,27,118,6.76,-5.39,0.69,0,0,0,0.54,25.76,69.12
425023,2016,4,28,119,8.59,-4.54,2.02,0,0,0,0.38,26.16,68.5
425023,2016,4,29,120,11.23,-3.65,3.79,0,0,0,0.52,26.45,66.12
425023,2016,4,30,121,15.64,-3.16,6.24,0,0,0,0.34,27.64,67.81
425023,2016,5,1,122,7.51,3.05,5.28,3.95,3.95,0,0.48,6.97,89.88
425023,2016,5,2,123,8.95,2.47,5.71,1.93,1.93,0,0.45,5.59,89.75
425023,2016,5,3,124,15.08,1.23,8.15,1.38,1.38,0,0.28,22.06,80.38
425023,2016,5,4,125,10.73,0.92,5.83,0,0,0,0.43,14.94,89.56
425023,2016,5,5,126,16.94,5.58,11.26,0,0,0,0.41,24.04,81.12
425023,2016,5,6,127,20.21,2.34,11.28,0,0,0,0.38,26.52,75.19
425023,2016,5,7,128,19.94,7.53,13.74,1.12,1.12,0,0.38,20.14,79.12
425023,2016,5,8,129,9.94,-1.38,4.28,6.03,6.03,0,0.56,17.72,73.25
425023,2016,5,9,130,9.63,-2.68,3.48,0,0,0,0.47,21.99,71
425023,2016,5,10,131,16.85,-1.84,7.51,0,0,0,0.42,29.19,69.56
