SampleID,tillfac_FT,tillfac_RT,wfac_irri,k10,k20,k30,k40,k50,f1,f2,f3,f5,f6,f7,f8,tmax,topt,plig
1,2.7625245458220595,1.2559046925669537,1,17.506599379015878,4.85461660950114,6.8181551033074035,0.2794050439071688,0.005740201288486133,0.47373384411427427,0.3711091216318368,0.5583504935814767,0.08317073380197561,0.10416197866996053,0.41245333856138777,0.4610691856865608,48.98328457854967,33.64184129218094,2.879672545667738
2,1.7642999111679847,1.5945396373369731,1,18.321349224626132,5.2434402998881,6.723026868898542,0.09389076166470861,0.009028704745161813,0.4023771331277327,0.31028861928417695,0.7593067096597282,0.060893930756706974,0.09506224571066677,0.45525839948124625,0.4470536515620374,47.681693558525296,33.370658061007376,3.862946975940373
3,3.0377812959882897,1.6896602810588666,1,18.248914440805976,5.007481940761539,7.633218197849868,0.11210010406560032,0.005303220177507028,0.5065539092467818,0.082932066985483055,0.31292607227391567,0.0980308371672295,0.048347083975879945,0.4421777071677642,0.41018073672791944,46.45796078618174,33.187681107511935,3.7086637754654515
4,3.8094873582484667,2.3779251684965566,1,18.668041364136457,4.904652605532366,6.725652674009325,0.13920635823754454,0.006972133920813212,0.6675219636615413,0.4590915640210779,0.5543398405073909,0.038226385583737865,0.17001262559342664,0.3819053678393299,0.4915658118055458,46.240644662928766,34.91900823665228,2.807680932864547
5,2.155073574031191,2.40256571177626,1,17.706529251943085,5.072613732616217,7.087972377691884,0.278068747414947,0.00866989087823662,0.7586105475993594,0.4869408293695471,0.6186336483142805,0.040135479297029084,0.10585291580619526,0.43452504984743334,0.4487131258598459,45.520936963074604,32.23070399582527,2.0194921461027118
6,2.200982780690165,1.7571935397437772,1,18.908538757956354,4.461843866649443,6.73166039976554,0.20248927069542044,0.009799234045075718,0.26092446862533925,0.09237894021605725,0.2733871817097301,0.03937440653882851,0.1556078815233591,0.4050755787020121,0.41903428437314466,43.63272435469902,31.164759504536466,2.2777633560728283
7,1.97030164598166,2.679794818855356,1,17.66153350084019,5.181515776929404,7.369138543997119,0.2345558090030942,0.007465464921542444,0.49178219079053037,0.2206886961146712,0.5971168912439142,0.041643580398970516,0.10730259289130803,0.40900285729917885,0.49191842197414487,47.02274223668757,33.761069696281965,2.249861460575834
8,1.6601100683119148,2.6551016980749553,1,19.35386329266876,4.729921936178608,7.585865015142905,0.24773633385892724,0.006673528897393262,0.5176670629299805,0.35665245622371955,0.43947861895929097,0.08141302545467462,0.09032653098193696,0.4485581747185551,0.46143478078162764,48.4012999007015,34.89922272324477,2.0418700602906754
9,1.5310859825454652,1.8489260244909675,1,19.49069580745001,5.313946225139028,7.705751216850151,0.21347967274621688,0.005186797030549497,0.7809278301597224,0.2587016165421591,0.20133947685097814,0.04259095067740139,0.16803052920426242,0.38891191254740115,0.4098713264358533,45.42656010093517,31.478573519909492,2.4295490229786374
10,1.586218873620266,2.215574870151002,1,20.092557364101523,4.965142337479047,6.73660067068656,0.18187995394267423,0.007833739432420116,0.4953392584735505,0.33351446852196565,0.7550871960334247,0.08587702615458238,0.021496274730768056,0.417423579360581,0.42451815702295165,48.26050196429249,31.98372000481762,3.8262006338099015
